movie,lead
The Iron Giant,Eli Marienthal
Knockin' on Heaven's Door,Til Schweiger
Sling Blade,Billy Bob Thornton
Secrets & Lies,Timothy Spall
Twelve Monkeys,Bruce Willis
Kôkaku Kidôtai,Atsuko Tanaka
The Nightmare Before Christmas,Danny Elfman
Groundhog Day,Bill Murray
Bound by Honor,Damian Chapa
Scent of a Woman,Al Pacino
Aladdin,John Musker
JFK,Kevin Costner
Beauty and the Beast,Kirk Wise
Dances with Wolves,Kevin Costner
Do the Right Thing,Danny Aiello
Rain Man,Dustin Hoffman
Akira,Mitsuo Iwata
The Princess Bride,Cary Elwes
Der Himmel über Berlin,Bruno Ganz
Au revoir les enfants,Gaspard Manesse
Tenkû no shiro Rapyuta,Mayumi Tanaka
The Terminator,Arnold Schwarzenegger
Gandhi,Ben Kingsley
Kagemusha,Tatsuya Nakadai
Being There,Peter Sellers
Annie Hall,Woody Allen
Jaws,Roy Scheider
Dog Day Afternoon,Al Pacino
Young Frankenstein,Gene Wilder
Papillon,Steve McQueen
The Exorcist,Ellen Burstyn
Sleuth,Laurence Olivier
The Last Picture Show,Timothy Bottoms
Fiddler on the Roof,Topol
Il conformista,Jean-Louis Trintignant
Butch Cassidy and the Sundance Kid,Paul Newman
Rosemary's Baby,Mia Farrow
Planet of the Apes,Charlton Heston
The Graduate,Dustin Hoffman
Who's Afraid of Virginia Woolf?,Elizabeth Taylor
The Sound of Music,Julie Andrews
Doctor Zhivago,Omar Sharif
Per un pugno di dollari,Clint Eastwood
8½,Marcello Mastroianni
Vivre sa vie: Film en douze tableaux,Anna Karina
The Hustler,Paul Newman
La dolce vita,Marcello Mastroianni
Rio Bravo,John Wayne
Anatomy of a Murder,James Stewart
Touch of Evil,Charlton Heston
Cat on a Hot Tin Roof,Elizabeth Taylor
Sweet Smell of Success,Burt Lancaster
The Killing,Sterling Hayden
The Night of the Hunter,Robert Mitchum
La Strada,Anthony Quinn
Les diaboliques,Simone Signoret
Stalag 17,William Holden
Roman Holiday,Gregory Peck
A Streetcar Named Desire,Vivien Leigh
In a Lonely Place,Humphrey Bogart
Kind Hearts and Coronets,Dennis Price
Rope,James Stewart
Out of the Past,Robert Mitchum
Brief Encounter,Celia Johnson
Laura,Gene Tierney
The Best Years of Our Lives,Myrna Loy
Arsenic and Old Lace,Cary Grant
The Maltese Falcon,Humphrey Bogart
The Grapes of Wrath,Henry Fonda
The Wizard of Oz,George Cukor
La règle du jeu,Marcel Dalio
The Thin Man,William Powell
All Quiet on the Western Front,Lew Ayres
Bronenosets Potemkin,Aleksandr Antonov
Knives Out,Daniel Craig
Dil Bechara,Sushant Singh Rajput
Manbiki kazoku,Lily Franky
Marriage Story,Adam Driver
Call Me by Your Name,Armie Hammer
"I, Daniel Blake",Laura Obiols
Isle of Dogs,Bryan Cranston
Hunt for the Wilderpeople,Sam Neill
Captain Fantastic,Viggo Mortensen
Sing Street,Ferdia Walsh-Peelo
Thor: Ragnarok,Chris Hemsworth
Nightcrawler,Jake Gyllenhaal
Jojo Rabbit,Roman Griffin Davis
Arrival,Amy Adams
Star Wars: Episode VII - The Force Awakens,Daisy Ridley
Before Midnight,Ethan Hawke
X-Men: Days of Future Past,Patrick Stewart
Bir Zamanlar Anadolu'da,Muhammet Uzuner
The Artist,Jean Dujardin
Edge of Tomorrow,Tom Cruise
Amour,Jean-Louis Trintignant
The Irishman,Robert De Niro
Un prophète,Tahar Rahim
Moon,Sam Rockwell
Låt den rätte komma in,Kåre Hedebrant
District 9,Sharlto Copley
The Wrestler,Mickey Rourke
Jab We Met,Shahid Kapoor
Boyhood,Ellar Coltrane
"4 luni, 3 saptamâni si 2 zile",Anamaria Marinca
Star Trek,Chris Pine
In Bruges,Colin Farrell
The Man from Earth,David Lee Smith
Letters from Iwo Jima,Ken Watanabe
The Fall,Lee Pace
Life of Pi,Suraj Sharma
Fantastic Mr. Fox,George Clooney
C.R.A.Z.Y.,Michel Côté
Les choristes,Gérard Jugnot
Iron Man,Robert Downey Jr.
Shaun of the Dead,Simon Pegg
Gegen die Wand,Birol Ünel
Mystic River,Sean Penn
Harry Potter and the Prisoner of Azkaban,Daniel Radcliffe
Ying xiong,Jet Li
Hable con ella,Rosario Flores
No Man's Land,Branko Djuric
Cowboy Bebop: Tengoku no tobira,Tensai Okamura
The Bourne Identity,Franka Potente
Nueve reinas,Ricardo Darín
Children of Men,Julianne Moore
Almost Famous,Billy Crudup
Mulholland Dr.,Naomi Watts
Toy Story 2,Ash Brannon
Boogie Nights,Mark Wahlberg
Mimi wo sumaseba,Yoko Honna
Once Were Warriors,Rena Owen
True Romance,Christian Slater
Trois couleurs: Bleu,Juliette Binoche
Jûbê ninpûchô,Kôichi Yamadera
Carlito's Way,Al Pacino
Edward Scissorhands,Johnny Depp
My Left Foot: The Story of Christy Brown,Daniel Day-Lewis
Crimes and Misdemeanors,Martin Landau
The Untouchables,Kevin Costner
Hannah and Her Sisters,Mia Farrow
Brazil,Jonathan Pryce
This Is Spinal Tap,Rob Reiner
A Christmas Story,Peter Billingsley
The Blues Brothers,John Belushi
Manhattan,Woody Allen
